slider_0_to_10,cutoff_hz
2.967,187.5
2.975,187.5
2.982,187.5
2.990,187.5
2.997,187.5
3.004,187.5
3.012,187.5
3.019,187.5
3.027,187.5
3.034,187.5
3.042,187.5
3.049,187.5
3.057,187.5
3.064,187.5
3.072,187.5
3.079,187.5
3.087,187.5
3.094,187.5
3.102,187.5
3.109,187.5
3.117,187.5
3.124,187.5
3.132,187.5
3.139,187.5
3.146,187.5
3.154,187.5
3.161,187.5
3.169,187.5
3.176,187.5
3.184,187.5
3.191,187.5
3.199,187.5
3.206,187.5
3.214,187.5
3.221,187.5
3.229,187.5
3.236,187.5
3.244,187.5
3.251,187.5
3.259,187.5
3.266,187.5
3.274,187.5
3.281,187.5
3.288,187.5
3.296,187.5
3.303,187.5
3.311,210.9
3.318,210.9
3.326,210.9
3.333,210.9
3.341,210.9
3.348,210.9
3.356,210.9
3.363,210.9
3.371,210.9
3.378,210.9
3.386,210.9
3.393,210.9
3.401,210.9
3.408,234.4
3.416,234.4
3.423,234.4
3.430,234.4
3.438,234.4
3.445,234.4
3.453,234.4
3.460,234.4
3.468,234.4
3.475,234.4
3.483,234.4
3.490,234.4
3.498,234.4
3.505,234.4
3.513,234.4
3.520,234.4
3.528,234.4
3.535,234.4
3.543,234.4
3.550,234.4
3.558,234.4
3.565,234.4
3.572,234.4
3.580,234.4
3.587,234.4
3.595,234.4
3.602,234.4
3.610,234.4
3.617,234.4
3.625,234.4
3.632,234.4
3.640,234.4
3.647,234.4
3.655,234.4
3.662,234.4
3.670,234.4
3.677,257.8
3.685,257.8
3.692,257.8
3.700,281.2
3.707,281.2
3.714,281.2
3.722,281.2
3.729,281.2
3.737,281.2
3.744,304.7
3.752,304.7
3.759,304.7
3.767,304.7
3.774,304.7
3.782,304.7
3.789,304.7
3.797,328.1
3.804,328.1
3.812,328.1
3.819,328.1
3.827,328.1
3.834,328.1
3.842,328.1
3.849,328.1
3.857,328.1
3.864,328.1
3.871,328.1
3.879,328.1
3.886,328.1
3.894,328.1
3.901,328.1
3.909,328.1
3.916,328.1
3.924,328.1
3.931,328.1
3.939,328.1
3.946,328.1
3.954,328.1
3.961,328.1
3.969,328.1
3.976,328.1
3.984,328.1
3.991,328.1
3.999,328.1
4.006,328.1
4.013,328.1
4.021,328.1
4.028,328.1
4.036,328.1
4.043,351.6
4.051,351.6
4.058,351.6
4.066,351.6
4.073,351.6
4.081,351.6
4.088,351.6
4.096,351.6
4.103,351.6
4.111,351.6
4.118,351.6
4.126,375.0
4.133,375.0
4.141,375.0
4.148,375.0
4.155,375.0
4.163,375.0
4.170,375.0
4.178,375.0
4.185,375.0
4.193,375.0
4.200,398.4
4.208,398.4
4.215,398.4
4.223,398.4
4.230,398.4
4.238,398.4
4.245,398.4
4.253,398.4
4.260,398.4
4.268,421.9
4.275,421.9
4.283,445.3
4.290,445.3
4.297,445.3
4.305,445.3
4.312,445.3
4.320,445.3
4.327,445.3
4.335,445.3
4.342,445.3
4.350,445.3
4.357,445.3
4.365,445.3
4.372,445.3
4.380,445.3
4.387,445.3
4.395,468.8
4.402,468.8
4.410,492.2
4.417,492.2
4.425,492.2
4.432,492.2
4.439,492.2
4.447,492.2
4.454,492.2
4.462,492.2
4.469,492.2
4.477,492.2
4.484,492.2
4.492,492.2
4.499,492.2
4.507,492.2
4.514,492.2
4.522,492.2
4.529,492.2
4.537,492.2
4.544,492.2
4.552,492.2
4.559,492.2
4.567,492.2
4.574,492.2
4.581,492.2
4.589,492.2
4.596,492.2
4.604,492.2
4.611,492.2
4.619,492.2
4.626,492.2
4.634,492.2
4.641,492.2
4.649,492.2
4.656,492.2
4.664,492.2
4.671,492.2
4.679,492.2
4.686,492.2
4.694,492.2
4.701,492.2
4.709,492.2
4.716,492.2
4.723,515.6
4.731,515.6
4.738,515.6
4.746,515.6
4.753,515.6
4.761,515.6
4.768,515.6
4.776,515.6
4.783,515.6
4.791,515.6
4.798,515.6
4.806,515.6
4.813,515.6
4.821,515.6
4.828,515.6
4.836,515.6
4.843,515.6
4.851,515.6
4.858,515.6
4.865,515.6
4.873,515.6
4.880,515.6
4.888,515.6
4.895,515.6
4.903,515.6
4.910,539.1
4.918,539.1
4.925,539.1
4.933,539.1
4.940,539.1
4.948,539.1
4.955,562.5
4.963,562.5
4.970,562.5
4.978,562.5
4.985,562.5
4.993,562.5
5.000,562.5
5.007,609.4
5.015,609.4
5.022,632.8
5.030,632.8
5.037,632.8
5.045,632.8
5.052,632.8
5.060,632.8
5.067,632.8
5.075,632.8
5.082,632.8
5.090,632.8
5.097,632.8
5.105,632.8
5.112,632.8
5.120,632.8
5.127,632.8
5.135,632.8
5.142,632.8
5.149,632.8
5.157,632.8
5.164,632.8
5.172,632.8
5.179,632.8
5.187,632.8
5.194,632.8
5.202,656.2
5.209,656.2
5.217,656.2
5.224,656.2
5.232,656.2
5.239,656.2
5.247,656.2
5.254,656.2
5.262,656.2
5.269,656.2
5.277,656.2
5.284,656.2
5.291,656.2
5.299,656.2
5.306,656.2
5.314,656.2
5.321,656.2
5.329,679.7
5.336,679.7
5.344,679.7
5.351,679.7
5.359,679.7
5.366,679.7
5.374,679.7
5.381,679.7
5.389,679.7
5.396,703.1
5.404,703.1
5.411,703.1
5.419,703.1
5.426,703.1
5.433,703.1
5.441,703.1
5.448,703.1
5.456,703.1
5.463,703.1
5.471,703.1
5.478,703.1
5.486,726.6
5.493,726.6
5.501,726.6
5.508,726.6
5.516,726.6
5.523,726.6
5.531,726.6
5.538,726.6
5.546,750.0
5.553,750.0
5.561,750.0
5.568,750.0
5.575,750.0
5.583,750.0
5.590,750.0
5.598,750.0
5.605,773.4
5.613,773.4
5.620,773.4
5.628,773.4
5.635,773.4
5.643,773.4
5.650,773.4
5.658,773.4
5.665,773.4
5.673,796.9
5.680,796.9
5.688,796.9
5.695,796.9
5.703,796.9
5.710,796.9
5.717,820.3
5.725,820.3
5.732,820.3
5.740,820.3
5.747,843.8
5.755,843.8
5.762,867.2
5.770,867.2
5.777,867.2
5.785,867.2
5.792,867.2
5.800,867.2
5.807,867.2
5.815,867.2
5.822,867.2
5.830,867.2
5.837,867.2
5.845,867.2
5.852,867.2
5.859,867.2
5.867,867.2
5.874,867.2
5.882,867.2
5.889,867.2
5.897,867.2
5.904,867.2
5.912,867.2
5.919,867.2
5.927,867.2
5.934,867.2
5.942,914.1
5.949,914.1
5.957,914.1
5.964,960.9
5.972,960.9
5.979,984.4
5.987,984.4
5.994,984.4
6.001,984.4
6.009,1007.8
6.016,1007.8
6.024,1007.8
6.031,1007.8
6.039,1007.8
6.046,1007.8
6.054,1007.8
6.061,1007.8
6.069,1007.8
6.076,1007.8
6.084,1007.8
6.091,1007.8
6.099,1007.8
6.106,1007.8
6.114,1007.8
6.121,1031.2
6.129,1031.2
6.136,1031.2
6.143,1054.7
6.151,1054.7
6.158,1054.7
6.166,1078.1
6.173,1078.1
6.181,1125.0
6.188,1125.0
6.196,1125.0
6.203,1148.4
6.211,1148.4
6.218,1148.4
6.226,1148.4
6.233,1171.9
6.241,1195.3
6.248,1195.3
6.256,1218.8
6.263,1218.8
6.271,1218.8
6.278,1218.8
6.286,1218.8
6.293,1242.2
6.300,1242.2
6.308,1242.2
6.315,1242.2
6.323,1242.2
6.330,1242.2
6.338,1242.2
6.345,1242.2
6.353,1242.2
6.360,1242.2
6.368,1242.2
6.375,1265.6
6.383,1265.6
6.390,1265.6
6.398,1265.6
6.405,1265.6
6.413,1289.1
6.420,1289.1
6.428,1289.1
6.435,1289.1
6.442,1289.1
6.450,1289.1
6.457,1289.1
6.465,1289.1
6.472,1312.5
6.480,1312.5
6.487,1312.5
6.495,1312.5
6.502,1312.5
6.510,1312.5
6.517,1312.5
6.525,1312.5
6.532,1312.5
6.540,1312.5
6.547,1312.5
6.555,1312.5
6.562,1312.5
6.570,1312.5
6.577,1335.9
6.584,1335.9
6.592,1335.9
6.599,1359.4
6.607,1359.4
6.614,1359.4
6.622,1359.4
6.629,1359.4
6.637,1359.4
6.644,1359.4
6.652,1359.4
6.659,1359.4
6.667,1406.2
6.674,1406.2
6.682,1429.7
6.689,1429.7
6.697,1453.1
6.704,1453.1
6.712,1476.6
6.719,1500.0
6.726,1500.0
6.734,1500.0
6.741,1500.0
6.749,1500.0
6.756,1523.4
6.764,1546.9
6.771,1593.8
6.779,1617.2
6.786,1617.2
6.794,1640.6
6.801,1640.6
6.809,1640.6
6.816,1664.1
6.824,1664.1
