Preset,A Byte,D Byte,S Byte,R Byte,A Slider,D Slider,S Slider,R Slider,Ams,Dms,Rms,LPF FRQ,Slider throw is 218px
B46 Glassy Wah,6,18,50,38,56,54,76,56,41,235.3,279.1,,
B47 Phase Ensemble,84,45,57,49,156,92,116,92,1187,1398.8,1437.6,,
B48 Chorused Bell,0,62,0,57,,,,,1.5,2418.1,1894.5,,
B51 Clav,0,43,55,0,,,,,,,,,
B52 Organ II,0,0,0,0,,,,,,,,,
B53 Bassoon,5,127,106,2,,,,,,,,,
B54 Auto Release Noise Sweep,0,79,57,83,,,,,,,,,
B55 Brass Ensemble,6,68,67,38,,,,,,,,,
B56 Ethereal,92,50,127,55,160,84,218,96,1293.4,1027,1638,,
B57 Chorus Bell 2,0,117,0,120,0,218,0,180,1.5,24000,12984,,
B58 Blizzard,78,98,87,78,150,162,140,122,1049.8,9138.5,3567.4,,
B61 E. Piano with Tremolo,0,65,60,98,,,,,,,,,
B62 Clarinet,5,127,106,7,,,,,,,,,
B63 Thunder,0,22,108,120,,,,,,,,,
B64 Reedy Organ,3,44,109,0,,,,,,,,,
B65 Flute / Horn,21,73,71,48,,,,,,,,,
B66 Toy Rhodes,0,89,0,39,,,,,,,,,
B67 Surf's Up,33,97,127,121,,,,,,,,,
B68 OW Bass,127,0,107,0,,,,,,,,,
B71 Piccolo,16,103,106,21,,,,,,,,,
B72 Melodic Taps,0,24,0,24,,,,,,,,,
B73 Meow Brass,4,90,0,27,,,,,,,,,
B74 Violin (high),43,45,57,26,,,,,,,,,
B75 High Bells,0,22,52,59,,,,,,,,,
B76 Rolling Wah,34,55,127,105,,,,,,,,,
B77 Ping Bell,0,23,23,57,,,,,,,,,
B78 Brassy Organ,0,36,109,0,,,,,,,,,
B81 Low Dark Strings,83,23,109,42,156,44,188,82,1153.2,121.2,9.47,,
B82 Piccolo Trumpet,3,44,51,11,,,,,,,,,
B83 Cello,48,65,90,34,,,,,,,,,
B84 High Strings,27,57,57,41,,,,,,,,,
B85 Rocket Men,0,127,51,89,,,,,1.5,24000,6736.3,,
B86 Forbidden Planet,0,48,23,42,,,,,,,,,
B87 Froggy,0,0,0,0,,,,,,,,,
B88 Owgan,0,49,55,0,,,,,,,,,
